Ticker,Date,Price,Flow
USD/JPY_B,1/24/2017 4:00,113.234,1.143163
USD/JPY_B,1/24/2017 5:00,113.245,1.138123
USD/JPY_B,1/24/2017 6:00,113.438,1.12766
USD/JPY_B,1/24/2017 7:00,113.283,1.132651
USD/JPY_B,1/24/2017 8:00,113.38,1.143623
USD/JPY_B,1/24/2017 9:00,113.29,1.070393
USD/JPY_B,1/24/2017 10:00,113.116,1.0404
USD/JPY_B,1/24/2017 11:00,113.306,1.031694
USD/JPY_B,1/24/2017 12:00,113.624,1.115507
USD/JPY_B,1/24/2017 13:00,113.555,1.10084
USD/JPY_B,1/24/2017 14:00,113.74,1.123593
USD/JPY_B,1/24/2017 15:00,113.851,1.093364
USD/JPY_B,1/24/2017 16:00,113.76,1.096436
USD/JPY_B,1/24/2017 17:00,113.792,1.097755
USD/JPY_B,1/24/2017 18:00,113.863,1.118195
USD/JPY_B,1/24/2017 19:00,113.856,1.164034
USD/JPY_B,1/24/2017 20:00,113.706,1.102165
USD/JPY_B,1/24/2017 21:00,113.618,1.064836
USD/JPY_B,1/24/2017 22:00,113.5,1.044154
USD/JPY_B,1/24/2017 23:00,113.494,1.0803
USD/JPY_B,1/25/2017 0:00,113.564,1.063558
USD/JPY_B,1/25/2017 1:00,113.667,1.11685
USD/JPY_B,1/25/2017 2:00,113.67,1.138123
USD/JPY_B,1/25/2017 3:00,113.543,1.07857
USD/JPY_B,1/25/2017 4:00,113.655,1.070393
USD/JPY_B,1/25/2017 5:00,113.553,1.062706
USD/JPY_B,1/25/2017 6:00,113.552,1.029633
USD/JPY_B,1/25/2017 7:00,113.556,1.007629
USD/JPY_B,1/25/2017 8:00,113.294,-1.032934
USD/JPY_B,1/25/2017 9:00,113.604,-1.095118
USD/JPY_B,1/25/2017 10:00,113.726,-1.001601
USD/JPY_B,1/25/2017 11:00,113.652,-1.004812
USD/JPY_B,1/25/2017 12:00,113.604,-1.01005
